#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
7.745561,19,36,0,13437
8.249590,19,31,0,13886
41.543295,21,36,0,14890
45.825832,21,31,0,15446
48.030617,17,36,0,14475
13.219366,18,36,0,15221
7.079012,12,34,0,13524
43.311362,54,47,0,45058
55.132114,52,50,0,42941
64.575750,53,40,0,42500
16.958035,51,39,0,41055
14.252259,46,24,0,37448
12.739371,41,36,0,33195
20.915305,41,30,0,33587
39.755480,40,34,0,32926
25.505740,37,36,0,25009
6.615726,38,41,0,26645
8.380754,38,36,0,26159
9.219921,32,46,0,22017
10.519788,29,59,0,22449
17.448082,28,71,0,22542
15.589067,25,75,0,22043
24.126329,20,69,0,18768
12.511494,21,69,0,19682
10.843533,21,70,0,19065
9.360331,20,56,0,17438
16.424444,19,51,0,16619
61.494510,20,51,0,17097
52.632722,20,52,0,17269
46.266264,19,54,0,17394
61.679050,18,56,0,15832
63.865138,16,59,0,15744
59.761994,15,61,0,15795
50.980762,13,57,0,13737
10.145566,10,55,0,8058
8.035244,9,39,0,7465
2.881016,9,38,0,7364
3.729391,10,38,0,7877
2.598841,10,39,0,8402
5.282464,9,37,0,7112
3.855865,11,40,0,8272
2.430962,11,37,0,8427
4.696030,12,37,0,9081
4.399981,12,34,0,9228
4.924638,13,34,0,9943
4.336864,13,35,0,10221
5.799703,13,29,0,10330
10.666912,14,29,0,11005
57.982954,15,29,0,11596
5.773884,16,29,0,12124
7.069599,34,95,0,27554
8.878974,26,40,0,18989
8.795029,32,49,0,22801
9.060637,33,48,0,23061
10.789960,32,40,0,21953
9.164373,26,43,0,19148
67.296454,26,34,0,18185
18.331512,23,25,0,16638
17.439529,28,22,0,19299
24.422240,27,23,0,18758
13.152904,26,25,0,18617
15.306267,26,26,0,18569
10.452998,26,47,0,18940
9.222646,23,31,0,17670
10.342589,24,30,0,18253
20.670337,21,51,0,17125
11.432086,18,35,0,15005
14.958182,21,53,0,16815
6.197076,20,52,0,15931
17.168047,16,35,0,13374
15.611235,22,34,0,16952
6.311309,15,35,0,13812
9.852695,14,37,0,13216
8.026048,12,35,0,9424
9.514901,10,34,0,8094
10.842890,8,32,0,7226
4.003670,9,32,0,7826
3.535063,9,33,0,8178
2.413640,10,33,0,8514
3.803151,10,33,0,7890
6.707650,11,33,0,8151
6.951423,12,33,0,8384
4.196604,11,33,0,7696
5.894778,13,34,0,9128
2.883047,11,33,0,7783
9.030338,13,33,0,9085
2.814545,13,33,0,9026
5.787231,14,33,0,9792
6.499594,14,33,0,9938
6.756521,14,26,0,10028
5.885143,15,26,0,10749
10.650148,16,26,0,11554
7.135800,17,26,0,12215
10.881875,18,26,0,12884
4.535845,17,19,0,12696
12.487367,17,18,0,13097
12.794187,19,19,0,14397
7.414304,20,19,0,15072
55.882005,20,18,0,15366
10.060039,19,17,0,15858
8.267220,20,17,0,15907
41.340416,18,20,0,15476
11.606308,17,22,0,15321
9.344604,18,22,0,16157
15.850656,17,24,0,15752
12.320450,15,27,0,14583
8.046730,15,28,0,14307
48.981924,16,28,0,14845
14.736823,15,30,0,15105
7.974616,18,28,0,16125
55.339237,20,27,0,17669
14.232174,18,30,0,16831
64.644462,17,32,0,16745
61.058443,21,29,0,18129
4.907362,20,31,0,18658
64.913030,18,34,0,17409
42.013246,18,29,0,15411
9.248969,24,30,0,20471
8.095683,19,36,0,17878
18.104700,19,28,0,15374
59.151946,22,35,0,19440
8.030754,23,35,0,19915
15.863305,-1064523955,30122,30125,1079409021
45.151007,1314608619,867998112,851919216,723478651
